index,familia,latin name,migrant,portugues,english,iucn,mma,description
6,Anatidae,,MGT,,,,,
7,Anatidae,Anas sibilatrix,MGT,marreca-oveira,Chiloe Wigeon,,," endemic to South America, breeding in southern Argentina, central Chile and on the Malvinas/Falkland Islands (Chesser, 1994; Sick, 1997). Populations that breed in the southern part of the distribution migrate to lower latitudes during austral winter and reach southern Brazil (Carboneras, 1992a). In Brazil, there are records of few individuals, which suggest that it is a marginal population that possibly represents less than 1% of the global population (ARA, 2016). For Rio Grande do Sul (RS) there are records in June and August (Maur�cio & Dias, 1996) and isolated records in October, February and July (Belton, 1984). Photographic records are restricted to September and October for RS and to September for S�o Paulo (SP) (WikiAves, 2016)."
8,Anatidae,Anas discors,MGT,marreca-de-asa-azul,Blue-winged Teal,,," breeds in North America from southern Alaska to central USA and the Gulf Coast. It spends the boreal winter in part of the USA, the Antilles, the Bahamas, Central America and northern South America, including northern Brazil (Carboneras & Kirwan, 2016). In late August it reaches the floodplains of Maraj� Island/Par� (PA) and lowlands of Maranh�o (MA) (Antas, 1987) probably in non-stop flights originating from its breeding sites. Juveniles banded in Canada and the USA (n = 93) between July and September were recovered in the Brazilian states of Acre (AC), PA, MA, Piau� (PI), Cear� (CE), Rio Grande do Norte (RN), Para�ba (PB), Minas Gerais (MG) and Rio de Janeiro (RJ) between December and February (Mestre et al., 2010; MZUSP 42153 [PA, 1959, January]). In addition, there are records between January and March for Roraima (RR), Amazonas (AM), PA and MA (Azevedo-J�nior, 2007; WikiAves, 2016). However, there are also records for RJ between April and August (Sick, 1997; MZUSP 78523 [1966, May]), as well as for SP (Silva-e-Silva & Olmos, 2007; WikiAves, 2016). For Paran� (PR) (Vallejos et al., 2011) and RS, where it appears to beVAGrant, there are records only in November (Belton, 1978). However, the occurrence of this species outside northern Brazil is occasional and irregular."
9,Anatidae,Oxyura vittata,MGT,marreca-rabo-de-espinho,Lake Duck,,," occurs in Chile, Argentina and southern Brazil. Populations that breed to the south of the distribution migrate north during winter, especially from April to August, and reach RS and Mato Grosso do Sul (MS) (Carboneras, 1992). In Brazil, this species occurs from January to July in RS, from January to May in Santa Catarina (SC), in February and March in PR and in July in MS (SNA, 2016; WikiAves, 2016; MZUSP 2415 [RS, 1894, April])."
10,Phoenicopteridae,,MGT,,,,,
11,Phoenicopteridae,Phoenicopterus chilensis,MGT,flamingo-chileno,Chilean Flamingo,NT,," occurs from central western Ecuador to the south, through the Andes, as far as Tierra del Fuego, and to the east reaching southern Brazil and Uruguay (del Hoyo et al., 2016a). It breeds in the region of Buenos Aires and C�rdoba provinces in Argentina and migrates east towards the coastal lagoons in southern Brazil and Uruguay (Antas, 1994), reaching the Lagoa do Peixe/RS, where they are recorded in large numbers from April to September (Belton, 1984; Sick, 1997; Bencke et al., 2006). There is no evidence of breeding activity in Brazil, but photographic records suggest that the species is present all year round in RS (WikiAves, 2016), possibly represented by non-breeding individuals that are immature and remain in the state until they reach breeding age (FZBRS, 2013). There are records of this species for PR only in October, for SP between June and January, and for RJ specifically in April, June, September, November and December (WikiAves, 2016; MZUSP 101724 [SP, 2016, January]; MNRJ 39058 [RJ, 1994, June])."
12,Spheniscidae,,MGT,,,,,
13,Spheniscidae,Spheniscus magellanicus,MGT,pinguim,Magellanic Penguin,NT,," occurs in Chile, Argentina, Uruguay and Brazil. It departs from its breeding site in Patagonia and Tierra del Fuego in April and migrates at each austral winter to the mouth of the Plata River, Uruguayan coast and southern and southeastern Brazil north to the state of RJ (Sick, 1997; ICMBio, 2010). It reaches Brazil in mid-May and departs from the coast in September (Antas, 1987). It isVAGrant in northeastern Brazil and records in this region have been increasing (Mart�nez, 1992), which suggests that this region is an extension of the wintering area of the species, especially since 2008 (Dantas et al., 2013). Photografic and museum records endorse a major Brazilian occurence of the species in the period between June and December from RS until RJ. Outside this period there are few isolated records to RJ, SC and RS (WikiAves, 2016; MZUSP; MNRJ)."
14,Diomedeidae,,MGT,,,,,
15,Diomedeidae,Thalassarche chlororhynchos,MGT,albatroz-de-nariz-amarelo,Yellow-nosed Albatross,EN,EN," breeds on the group of islands of Tristan da Cunha (Tristan da Cunha, Inaccessible, Nightingale, Middle and Stoltenhoff) and Gough Island (Olmos et al., 2006). In Brazilian waters it occurs more frequently from RS to RJ (MZUSP; MNRJ). However, there are records from northeastern Brazil (Olmos et al., 2006), for Sergipe (SE) in June, Alagoas (AL) in May and June (Sousa et al., 2005; MNRJ 36008 [AL, 1988, May]), Pernambuco (PE) in May (Carlos et al., 2005a), MA in October (Carvalho et al., 2010) and even in PA, in Muan�, in July (WikiAves, 2016). During winter, the number of individuals in oceanic Brazilian waters rises considerably (Neves et al., 2006). Individuals banded at breeding sites were recovered in the states of SP in September, SC in June (Olmos, 2002a) and RS in November (Soto & Riva, 2001)."
